price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link
23300000,16.963963918535928,65.3,2,3,23,метро Улица Академика Янгеля,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/315658566/
20800000,16.850463544671545,52.1,2,6,16,метро Ботанический сад,13 минут пешком,1,13,https://www.cian.ru/sale/flat/313149923/
5100000,15.444751097694557,28.5,1,4,9,метро Ботанический сад,29 минут на транспорте,0,29,https://korolev.cian.ru/sale/flat/315462011/
13700000,16.432906390798355,45.2,1,20,33,метро Бульвар Адмирала Ушакова,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/315363784/
19100000,16.76519889301686,56.4,2,8,16,метро Яхромская,16 минут пешком,1,16,https://www.cian.ru/sale/flat/316138058/
17800000,16.694709015262312,74.6,3,1,17,метро Новопеределкино,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/316519578/
18550000,16.73598034701772,74.5,3,1,16,метро Мякинино,9 минут на транспорте,0,9,https://www.cian.ru/sale/flat/314429470/
35740000,17.391781067695558,64.7,3,9,33,метро Добрынинская,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/313067361/
15300000,16.543363386362664,62.0,2,9,24,метро Волоколамская,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/316069106/
59990000,17.909688439629274,107.0,3,39,40,метро Профсоюзная,18 минут пешком,1,18,https://www.cian.ru/sale/flat/313176606/
18500000,16.733281290048552,77.9,3,19,22,метро Улица Горчакова,20 минут пешком,1,20,https://www.cian.ru/sale/flat/315882714/
11990000,16.299583527003698,59.0,3,7,9,метро Улица Академика Янгеля,16 минут пешком,1,16,https://www.cian.ru/sale/flat/301963450/
19700000,16.796129193708218,56.0,3,9,9,метро Крестьянская Застава,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/314745636/
15840000,16.578048944350552,50.6,2,10,17,метро Чертановская,2 минуты пешком,1,2,https://www.cian.ru/sale/flat/300253966/
15000000,16.523560759066484,45.0,2,6,9,метро Коньково,20 минут пешком,1,20,https://www.cian.ru/sale/flat/313737828/
23450000,16.970381052856563,71.0,2,5,8,метро Щукинская,10 минут пешком,1,10,https://www.cian.ru/sale/flat/315679221/
63500000,17.96655046386292,125.2,5,3,23,метро Новоясеневская,18 минут пешком,1,18,https://www.cian.ru/sale/flat/306037248/
9500000,16.06680235657077,38.0,1,4,14,метро Пражская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/311152667/
17000000,16.64872390202049,36.0,1,2,18,метро Терехово,18 минут пешком,1,18,https://www.cian.ru/sale/flat/315776743/
13950000,16.45099006623165,47.0,2,9,14,метро Варшавская,17 минут пешком,1,17,https://www.cian.ru/sale/flat/313358534/
18726000,16.74542349048097,51.9,2,2,4,метро Спартак,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/312099780/
70000000,18.064005800013632,113.0,4,11,11,метро Улица 1905 года,19 минут пешком,1,19,https://www.cian.ru/sale/flat/313171268/
19136254,16.767095209055775,35.1,1,10,44,метро Октябрьское Поле,6 минут пешком,1,6,https://www.cian.ru/sale/flat/316447910/
30350000,17.228307075469782,80.0,3,17,24,метро Нагатинская,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/309903397/
13699000,16.432833395433526,52.6,2,1,12,метро Яхромская,16 минут пешком,1,16,https://www.cian.ru/sale/flat/314887739/
21990000,16.906098362530944,58.7,3,7,9,метро Юго-Западная,12 минут пешком,1,12,https://www.cian.ru/sale/flat/315548152/
36000000,17.399029496420383,77.3,4,6,6,метро Красносельская,18 минут пешком,1,18,https://www.cian.ru/sale/flat/315541480/
61000000,17.926384422137584,54.0,2,9,12,метро Марксистская,18 минут пешком,1,18,https://www.cian.ru/sale/flat/313073301/
10048800,16.122963782355182,47.4,2,1,24,метро Бабушкинская,16 минут на транспорте,0,16,https://mytishchi.cian.ru/sale/flat/314204007/
11499000,16.257770633030802,31.4,1,2,24,метро Авиамоторная,19 минут пешком,1,19,https://www.cian.ru/sale/flat/311428015/
14000000,16.454567887579532,51.9,2,2,12,метро Братиславская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/315338903/
16982507,16.647694372236526,57.8,2,25,26,метро Лесопарковая,7 минут пешком,1,7,https://www.cian.ru/sale/flat/313298441/
12600000,16.349207371921707,54.7,2,16,17,метро Пыхтино,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316715553/
15842000,16.578175199006363,82.0,3,1,4,метро Зябликово,17 минут на транспорте,0,17,https://vidnoye.cian.ru/sale/flat/316478847/
21000000,16.860032995687696,52.8,2,8,14,метро ВДНХ,11 минут пешком,1,11,https://www.cian.ru/sale/flat/312743016/
16610000,16.625515481589478,22.7,1,22,24,метро Университет дружбы народов,3 минуты на транспорте,0,3,https://www.cian.ru/sale/flat/294815146/
83000000,18.234351165760877,110.0,4,3,5,метро Тверская,2 минуты пешком,1,2,https://www.cian.ru/sale/flat/301707381/
15004818,16.523881907492807,57.2,2,11,11,метро Ховрино,20 минут на транспорте,0,20,https://www.cian.ru/sale/flat/314607308/
42000000,17.553180176247643,60.0,2,6,6,метро Фрунзенская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/314638271/
13000000,16.38045991542581,32.0,1,3,9,метро Бауманская,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/316435918/
13700000,16.432906390798355,37.8,2,5,24,метро Отрадное,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/315548844/
105000000,18.4694709081218,112.0,3,7,8,метро Арбатская,10 минут пешком,1,10,https://www.cian.ru/sale/flat/314845773/
7100000,15.775605342011543,38.0,1,17,17,метро Измайловская,14 минут на транспорте,0,14,https://balashikha.cian.ru/sale/flat/313594678/
26350000,17.086978832951644,75.0,3,3,23,метро Фонвизинская,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/314221013/
55000000,17.822843743196746,113.0,4,13,20,метро Беляево,15 минут пешком,1,15,https://www.cian.ru/sale/flat/312127131/
8500000,15.955576721460544,24.7,1,9,10,метро Строгино,20 минут пешком,1,20,https://www.cian.ru/sale/flat/315197268/
19600000,16.791040124200745,53.7,2,9,17,метро Тропарёво,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/314422823/
30400000,17.22995316637645,47.0,2,14,25,метро Аминьевская,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/311729411/
51500000,17.757092365633966,96.0,4,7,17,метро Электрозаводская,16 минут пешком,1,16,https://www.cian.ru/sale/flat/313882663/
13000000,16.38045991542581,43.4,2,1,9,метро Университет дружбы народов,17 минут пешком,1,17,https://www.cian.ru/sale/flat/311352384/
14900000,16.51687177091569,62.7,3,1,12,метро Пражская,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/308750918/
70000000,18.064005800013632,113.0,4,11,11,метро Краснопресненская,19 минут пешком,1,19,https://www.cian.ru/sale/flat/313171268/
7300000,15.80338490611862,34.4,1,6,10,метро Бульвар Дмитрия Донского,10 минут на транспорте,0,10,https://vidnoye.cian.ru/sale/flat/311178957/
16300000,16.60667566577699,44.7,1,25,25,метро Новаторская,15 минут пешком,1,15,https://www.cian.ru/sale/flat/308022166/
135000000,18.720785336402702,102.0,3,16,34,метро Парк Победы,17 минут пешком,1,17,https://www.cian.ru/sale/flat/315551633/
22952248,16.948926441743556,60.5,3,23,24,метро Боровское шоссе,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/300444128/
15500000,16.556350581889475,34.5,1,25,25,метро Солнцево,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/279380322/
10500000,16.166885815127753,26.2,1,7,10,метро Селигерская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/305267351/
22934586,16.948156634836753,66.2,2,2,12,метро Ольховая,10 минут на транспорте,0,10,https://www.cian.ru/sale/flat/315217757/
27000000,17.111347423968603,64.4,3,12,12,метро Минская,11 минут пешком,1,11,https://www.cian.ru/sale/flat/315145942/
